de,gsw
ärgerlich reagieren,grantig sii
Armbanduhr,Gelärettli
Ärzte,Ärzt
Ärzte,Ärzte
Aspekt,Aspekt
auch,au
auch,au
auf etwas aufmerksam machen,schtüpfä
auf Wiedersehen,Adee
auf Wiedersehen,Adiö
aufgenähter Flick,Blätz
Aufhänger,Hänkel
aufheben,lüpfä
aufklaren (Wetterbesserung),uufhellä
Aufschneider,Plagööri
Aufschrei (schriller) ,Geuiss
Augen,Auge
aus,uus
Ausbuchtung,Büülä
Auseinandersetzung (gründliche),Chuttlläputzätä
ausgeben (sie),usegebed
ausgegeben,usegeh
ausplaudern,verschnäpfä
Ausrangiertes,Grümpel
ausruhen,ghiirmä
ausruhen,leujä
ausschalten,abstellä
ausser sich geraten,verjagt
auswerfen,uusrüärä
Auto (altes),Chlapf
Auto (altes),Göppel
Auto (altes),Scheesä
Bäcker,Pfister
bald,glii
Ball,Bölä
barfuss,barbei
Bastler,Chlütteri
Bauch (dicker),Ranzä
Bauchschmerzen,Ranzäpfiiffä
baumeln,lampä
Baumstamm (gefällter),Trämäl
beängstigend,gfüürchig
beaufsichtigen,gaumä
bedrückt,tuuch
beeile dich,dali dali
beeile dich,einä steckä
beeilen,debälä
beeilen,pressiärä
beeilen,sebälä
beeilen,semmälä
befehlen,gheissä
begierig,giiggerig
behaupten,tribuliärä
behelfsmässig flicken,schnuurpfä
behelfsmässig werken,chlämpärä
Behinderung,Hinderlig
bei,bi
beim Kegeln alle Neune umwerfen,Baabäli
Bein,Scheichä
Beisammensitzen (gemütliches),höcklä
bekommen,überchoo
bellen (Hund),bäfzgä
benennen,namsä
beobachten (erwartend),schpienzlä
bequem,komood
bequem,leiig
bereit sein,gaumä
beruhigen,gschweiggä
berühren,aalangä
Beschädigung (oberflächliche),Brätschgä
beschuldigen,aaschwärzä
Besserwisser,Bhaupti
bestechen,schmiärä
bestimmt,bimaich
bestimmt,bimaid
betasten,tööplä
betrachten,aaluägä
betrogen werden,innäghaijä
Betrug,Bschiss
Betrug,Chrampf
betrügen,bschiissä
betrunken,Oel am Huet
betrunken sein,en Aff haa
betrunken sein,en Chaib haa
Bett,Chischtä
Bett,Näscht
Bewegung,Wank
Biene,Immäli
Biene,Imme
bin,bin
biomedizinischer,biomedizinische
bitte,bis so guät
Blase,Blaatärä
Blasinstrument,Guugä
blauer Hautfleck,Bläuälä
blauer Hautfleck,Möutschi
Blödsinn,Seich
blühende Obstbäume,Bluäscht
Blumenstrauss,Majä
Bluterguss,Bläuälä
bohnern,blochä
Bonbon,Dröbsli
Bonbon,Tääfäli
Bonbon,Zückerli
Böschung (bewachsene),Brüüschärä
Brautwerber,Chiltär
brav,aarig
brav,aartig
Brei aus Beeren,Brägäl
Bremse (Insekt),Brämä
Bremse am Pferdewagen,Grätschä
Brennholzbündel,Buschlä
Brennholzbündel,Stuudä
Brennholzbündel,Wädälä
Bretterzaun,Bschlegi
Briefboote,Pöschtlär
Briefboote,Pöschtlär
Briefboote,Pöschtlär
Briefumschlag,Couvert
Brocken,Mockä
Brosamen,Bröösmäli
Brotanschnitt,Aahäuer
Brotanschnitt,Ahäuerli
Brotanschnitt,Bödäli
Brotanschnitt,Gupf
Brotanschnitt,Mörgäl
Brotanschnitt,Mugerli
Brotanschnitt,Mutsch
Brötchen (kleines),Büürli
Brötchen (kleines),Schlumbergerli
Brötchen (kleines),Weggli
Brotlaib 500 Gramm,Pfünderli
brummen,gümschälä
Buchdruckertaufe (alter Brauch),Gautschätä
bucklig,högerig
Bügelbrett (kleines),Ärmelböckli
bügeln,glettä
Buschbohne,Höckerli
Busen,Chabis
Butter,Ankä
Butter (einheitlich geformt),Ankämödäli
Butterbrot mit Marmelade,Brüütli
Champagner,Chlöpfmoscht
chan,kann
chaotisch,ds under obsi
Christi Himmelfahrt,Uuffert
Corona,Corona
Corona-Test,Coronatest
Corona-Tests,Coronatests
da,da
da,do
da,do
da,do
Dach,Schäärmä
Dachbalken,Rafä
Dachboden,Schloff
Dachboden,Windä
Dachrinne,Pfätana
Dachstock,Schütti
damals,dozmal
damit,damit
dämmern,dunklä
darum herum reden,guänä
das,da
das,das
das,s
das,s
das,s
das Du antragen,duuzis machä
dass,das
dass,dass
dass,dass
dass,dass
dass ich,dassi
dauernd,alläwiil
davon,devo
defekt,verheit
dein (M),din
deine,dini
dem,de
dem,de
den,de
den,de
den,de
den,de
den,de
den Hof machen,heublüemälä
denn,denn
der,de
der,de
der,de
der,wo
Details,Details
Deutschland,dä gross Kanton
dich,dich
dicht,bhabä
Dickicht,Gschtrüpp
die,d
die,die
die,die
die,die
die,die
die,wo
dieses Jahr,hüür
diesjährig,hüürig
diesseits,hihaar
dir,dir
dort,dört
dort,döt
dösen,bleeschtä
drängen,schtürmä
drehen,drüllä
drillen,schluuchä
drohende Gewitterwolken,Blaascht
drüben,däänä
drüben,däännä
du,du
du meine Güte!,jeechterlis au!
dumm,doof
dummer Einfall,Föta
dummer Kerl,Gaggalaari
Dummkopf,Goon
Dummkopf,Tschumpl
dümmliche Frau,Tschättärä
dümmliche Frau,Ürbsi
Dummschwätzer,Schnorri
Dummschwätzer,Schwafli
Durchfall,Abfüerä
Durchfall,Tutswitt
durchnässt,pflotschnass
durchwühlen von Hand,nodärä
Durlips,Futterrübe
Efeu,Abläub
egal,schnurz
Eichelhäher (Vogel),Heerägäägälär
Eidechse,Hezgi
eifersüchtig,schaluu
eigenartig,gschpässig
eigenartig,kurlig
eigenen,eigene
eigenen,eigete
ein Bein in den Weg stellen,dä Höggel stellä
ein bisschen,es Bröösi
ein ganz klein wenig,äs biräbiräbitzäli
ein Geschenk bringen,helsä
ein paar,paar
eine Hand voll,Hampfälä
einen guten Appetit haben,gfrässig
einengend,bhabä
einengend,gedrung
einfach,afoch
einfach,afoch
einfach,ring
Einfältiger,Gaggalaari
einflüstern (in der Schule),iiblasä
eingebildete Frau,Tüpfi
Einheimischer,üüsereine
einkaufen,poschtä
einmal,einisch
einmal,einisch
Einsatzbereitschaft,Piggee
eintauchen,tünklä
Eisbein,Gnagi
elegant,rassig
Elsässer,Waggis
Elster (Vogel),Ägerscht
Elster (Vogel),Häxli
empfindliche Frau,Mimösli
endlich,afig
enorm,gail
Entschuldigung,exgüsi
entzwei,abänand
er,er
erbost,daub
erbrechen,Bogähueschte
erbrechen,chörblä
Erbse,Bowäärli
Erde,Häärd
Erfreuliches,Ufschteller
erkalten,challä
erschrocken,verchlüpft
erstaunt,baff
erstaunt,paff
erste,erst
erste,erst
ertragen,verliidä
ertrinken,erbudlä
ertrotzen,zwängälä
erübrigt (er/sie/es),erübrigt
erwähnt,erwähnt
erwischen,verwütschä
erzürnen,daub(ä) machä
es,es
essbare Innereien,Chuttlä
essbare Innereien,Grick
ethisch,ethisch
ethischen,ethische
etwas,näbis
etwas,neimis
etwas,öpis
etwas,öpis
Eule,Nachtheuäl
fade,otelos
fade Brühe,Lüürlibruä
fallen,droolä
fallen,ghejä
fallen lassen,ghejä laa
falsch,lätz
Fälschung,Fälschig
Fasnachtsnarren,Legoorä
faulenzen,plegärä
Februar,Horner
fehlentwickeln,schlinggä
fein gefleckt,gschprängglät
fein gefleckt,gschprängglät
fein gefleckt,gschprigglät
fein gespaltenes Brennholz,Schpiiggäli
Felsbrocken,Schopf
Fenster,Feischter
Fensterchen,Guggeerä
Ferien,Ferie
Ferien,Ferie
Ferkel,Fäärlig
Ferkel,Suzäli
fernes Gewitter,Wättärleinä
Fernglas (Theater),Opäräguggär
Fernsehgerät,Glotzä
festhalten,hebä
festlich kleiden,sunntigä
Fete,Chäferfäscht
fett,chäch
fett,feiss
fett,fett
Fett,Schmalz
Fetzen,Schlämpä
Finger,Kräbäl
Flasche,Guttärä
Flasche,Schlegel
Fleck,Mosä
fleissig,gwärchig
fleissig,schaffig
flirten,karisiärä
flirten,karisierä
flirten,liäbäuglä
fluchen,hindersi bättä (sy)
fluchen,sirrachä
flüstern,chuschälä
foppen,aazündä
fraglich,allwääg
Franken,Schtütz
Frauenfrisur,Bürzi
frecher Junge,Luusbueb
frecher Knabe,Schnudäri
freches Kind,Schnudergoof
Freudenschrei,Juuchzer
frieren an Händen und Füssen,hurniglä
Frostbeule,Gfrörni
frösteln,tschudärä
frotzeln,schtichlä
Fruchtfüllung,Kösi
früh,fücht
Frühling,Uschtig
Frühstück,Galozä
Frühstück,Zmorgä
fuchteln,gischplä
Führungsleine an Zugtieren,Hälslig
Fünffrankenstück,Füüfliiber
Fünffrankenstück,Heiär
für,für
Furunkel,Aissä
Fussball spielen,tschuutä
Fusstritt,Gingg
Fusstritt,Schtiirz
Gabel,Forgglä
Gang,Gang
Gänsehaut,Hüberlig
Gänsehaut,Hüenerhuut
gar,ger
gärend,jäsig
Gartenhacke,Gärtel
Gartenhacke,Heuäli
gealtert,abgäh
Gebrechen,Breschtä
Gedichteschmied,Värsli Brünzlär
Gedränge,Duckätä
Gedränge,Gschtungg
gefährden,gfährde
Gefängnis,Chefi
Gefängnis,Chischtä
Gefühl,Gfühl
Gegend,Chrachä
gehen,go
gehen,goh
gehen,goh
gehorchen,folgä
gehört,ghört
gehst du,gaasch
Geist,Bozsu
Geiz,Giit
geizen,chnoorzä
geizen,schmüürzälä
Geizhals,Chnupäsaager
geizig,chluppig
geizig,ghebig
geklaut (scherzhaft),gschtüber choo
gelb,gäggeligäl
Geld,Chölä
Gelenk,Gleich
Geliebter,Hächu
gelöscht,glöscht
gemächlich,gmaach
gemächlich,lamaaschig
gemütlich,paschifig
genauer,genauer
genauso,genauso
genauso,genauso
genauso,juschtamänt
geradewegs,schnuärschtraks
Geräteschuppen (kleiner),Schöpfli
gerne,gern
Gerstenkorn am Augenlid,Griitli
Gesäss,Füdli
Geschäft,Gschäft
Geschäftsleitung,Gschäftsleitig
Geschenk an Besucher,Bhaltis
Geschmacksempfinden im Gaumen,Guu
Geschwätz (leeres),blablaa
geschwatzt,brutlät
geschwind,gleitig
geschwind,gleitig
geschwind,tifig
geschwind,tifig
gesehen,gseh
gesehen,gseh
gestern Abend,nächtig
gestohlen,gmuggät
gestohlen,gschtüüber cho
Getue geben,Mais machä
gewesen,gsi
gewesen,gsi
gewesen,gsii
gewinnen,putzä
gibt,git
giessen,leschä
gleichgültig,larifari
gleiten,schlifärä
glitschig,glatt
Glück (im Unglück),Dusl
Glüschtälär,Grabscher
Glut (im Feuer),Gluäsä
Gott bewahre,Bhüetis trüüli
graben,puttlä
Grabscher,Tööpli
Gras in Reihen,Maad
Grenzen,Grenze
Grossmutter,Nani
gründlich,radibuz
grundsatzlos,wischiwaschi
Gurke,Guggumärä
Guss,Gutsch
gut aussehen,ä Fallä machä
gut aussehen,ä Fallä machä
guten Abend,Hiuba
guten Appetit,än Guetä
guten Tag,grüäzi
guter Dinge,vögeliwohl
Haar oberhalb dem Ohr,Tschuupi
Haarknoten,Ribl
habe (ich),ha
habe (ich),ha
habe (ich),han
habe ich,hani
haben (sie),hend
haben wir,hemmer
Habicht,Huänärdiäb
haftend,chläbärig
hallo,hallo
Halskehre (Krankheit),Äkägstabi
Halsschleife,Schärpä
Halsteil des Pferdegeschirrs,Kummät
Halstüchlein,Bajarderli
halt,halt
Halunke,Glünggi
Handarbeitsschule,Handsgi
Handarbeitsschule,Schnurpfi
Handgriff,Haba
Handnetz mit Stiel z. Fischen,Feumer
Handspielpuppe,Chaschperli
hängen,lampä
Hans guck in die Luft,Preusivogel
Häppchen vor dem Schlafen,Bettmümpfäli
Harasse,Gacho
hässlich,schüüsch
hasten,juflä
hat (er/sie/es),het
hauen,fitzä
hauen,schlaa
Haumesser,Gertel
Hausschuh,Finkä
Hausschuh,Günschä
Hautverletzung,Blätz
Heidelbeere,Heiti
Heidelbeere,Heubeeri
Heidelbeere,Heubeeri
heikel (beim Essen),chöag
heikel (beim Essen),schnäderfrässig
heiser,Chrot im Hals
Heiztorf,Tuurpä
Hemd,Hämli
Hemd,Hämp
heran,anä
Herrenjacke,Chittäl
herstellen,ferggä
herumhantieren,figuretlä
herumschweifen,striälä
herunter,obäabä
herunterfallen,abägheiä
herunterfallen,abätätschä
hervorgucken,gügslä
Heuernte,Heuät
Heugestell auf dem Felde,Heinzä
Heuhaufen,Schöchäli
Heuschober,Heugadä
Heuschrecke,Heugümpär
Heuschrecke,Heustöffel
heute,hüt
heute Abend,hinät
heute Abend,Hinicht
heute Nacht,hinicht
heutzutage,hütigstags
Hexe,Schträgglä
Hiebe,Tätsch
hinauf,uhi
hinaus,usä
hindurch,dürhi
hinfallen,umgheija
hinfallen,umtroolä
hinken,hiupä
hinken,hülpä
hinunter,abbä
hinunter,ahi
Hinweise,Hiiwiis
hochheben,lüpfä
Hocker,Buggäli
Hocker,Chrückli
Hocker mit Rückenlehne,Schtabällä
hoffentlich,goppäl
Holunder,Holder
Holzast,Bänggu
Holzast,Drämäl
Holzscheit,Tütschi
Holzsplitter im lebenden Fleisch,Spiissä
Holzstock,Chnebel
Holzstock,Schtäckä
Honig,Hung
hören,losä
Hosensack,Fagetta
Hügel,Hogär
Hügel,Hübäli
ich,i
ich,i
ich,i
ich,ich
ich,ich
ideenreich,bsenchämig
ideenreich,bsennchämig
im Dreck spielen,dräcklä
im Freien,verussä
im Gegenteil,dätwäris
im Wettkampf besiegen,bodigä
immer,alläwiil
immer,eischter
immer,gäng
immer wieder,allpott
improvisiert hantieren,chlämpärä
improvisiert hantieren,figureetlä
improvisiertes Hantieren,chüngelä
in,i
in,i
in die,id
in die,id
in einem,imne
in Massen,biigäwiis
irgendwo,naimet
irgendwo,nöimä
irre sein,schpinnä
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
Italiener (abwertend),Tschingg
ja,jo
Jacke,Tschoopä
Jahren,Johr
Jahrmarkt,Chilbi
Jammerer,Grochsi
jammern,grochsä
jammern,liirä
Januar,Jännär
Januar,Januar
jäten,wuäschtä
Jauche,Bschütti
Jauche,Güllä
Jauchenschöpfkelle,Goon
Jauchenschöpfkelle,Gorächübäl
jauchzen,zäuerlä
jedenfalls,einewääg
jemand,öppär
jemand,öpper
jemanden auf dem Rücken tragen,chräzäbuggälä
jenes,säb
jenseits,ennet
jeweils,allig
jeweils,amigs
Job,Job
Johannisbeere,Trübäli
juckend,chribälig
Kachelofen,Chuuschtofä
Kälbchen,Chöötschäli
Kälbchen,Chuutschi
Kalender,Prattig
kältempfindlicher Mensch,Gfröörli
kaltschnäuzig,schnodrig
Kamm,Schträäl
kämmen,schträälä
Kaninchen,Chüngel
kann (er/sie/es),chan
kann (ich),chan
Kännchen zum tropfenweise Ölen,Oelstiirzli
kannst (du),chasch
Kanton,Kanton
Karabiner,Chaarscht
kariert,ghüüslät
Karotte,Rüäbli
Kartoffeln,Guml
Kartoffeln,Häpärä
Kartoffeln (in Schale gekocht),Gschwellti
Kartoffelstock,Schtunggis
Karussel,Riitschuäl
Kastanien,Cheschtänä
Kasten,Schaft
Katze,Büsi
Katze,Zisäli
kauen,chaflä
kauen (an Zähem),chätschä
kauern,güüpu
kauern,huurä
Kehricht,Ghüder
Kehricht,Ghüder
Kehricht,Güsäl
Kehricht,Güsel
Kehrichteimer,Ghüderchübel
keine,kei
keine Ahnung,kei Hochschii
Keks,Chröömli
Keks,Guätzli
Keks,Schliirg
Keks,Tolggä
kenne (ich),kenn
Kerbe,Hick
Kerl,Chaib
Kerngehäuse des Obstes,Bütschgi
Kerngehäuse des Obstes,Gigetschi
Keule,Chnüppel
Kies,Griän
Kinder,Chnöpf
Kinder,Goofä
Kinder hüten,gaumä
Kinder hüten,goumä
Kindergarten,Chindsgi
Kindergarten,Gväterlischuäl
Kindergartenschüler,Chegelischüeler
Kinderwagen,Schesäwage
kindisch,dada
kindisch,gaga
Kirchweihfest,Chilbi
Kirsche,Chirsi
Kirsche,Chriesi
kitzeln,chrüsälä
klappern,tschädärä
klauen,schtibizä
kleben,chleubä
kleckern,chosle
Kleid,Gwand
Kleidung,Aaleggi
Kleinbürger,Bünzli
kleiner Junge,Pfüdäri
kleines Bier,Schtangä
Kleingeld,Münz
Kleingeld,Speuz
Kleingeschnittenes,Schnäf'l
Kleinigkeit,Nüütäli
Kleinkind,Bebe
Kleinkind,Buschi
kleinmütig,schäbig
kleinmütig,schmürzälig
kleinwüchsiger Mensch,Bodäsurri
kleinwüchsiges Kind,Grööggu
kleinwüchsiges Kind,Pfüdäri
Klette,Bliiberli
klettern,chräslä
klettern,gogärä
klingeln,schällä
klirren,schärbälä
klopfen,tätschä
Kloss,Chlumpä
Klotz,Totz
Knabe,Bueb
Knabe,Giäl
Knall,Chlapf
knallen,chlöpfä
knallen,tätschä
Knallkörper,Schwärmär
knappern,chröschpälä
knarren,giirä
Knäuel,Chrungälä
Knecht Ruprecht,Schmutzli
kneifen,chnüüblä
Kneipenrunde,Pintächeer
Knick,Buck
knieen,chnünlä
Kontakt,Kontakt
korrupt,korrupt
Kuchen,Dündlä
Kuchen,Dünnä
Kunde,Chund
Kunde,Chund
Labor,Labor
Laborauftrag,Laboruftrag
lassen,loh
laut durch den Mund atmen,chaarchlä
ledige Frau,Jumpfärä
leicht betrinken,lödälä
leise gehen,düüsselä
leise klopfen,pöppärlä
Leitung,Leitig
Limonade,Blööterliwasser
machen,mache
machen (wir),mached
machen (wir),mached
macht (er/sie/es),macht
mal,mol
mal,mol
Mal,Mol
manchmal,allig
meinem,mim
melden,melde
mich,mi
mich,mi
mich,mich
minderwertige Dinge,Glump
mit,mit
mit,mit
mit Besen reinigen,förbä
mit Besen reinigen,wüschä
mit dem Feuer spielen,"züüslä, zeuslä"
munter,buschbär
müssen wir,müremer
musst (du),muesch
musst (du),muesch
Mütze,Tschäpper
nach Luft schnappen,chiichä
nach Luft schnappen,japsä
negativ,negativ
Nelke,Nägäli
nicht,ned
nicht,ned
nicht,ned
nicht,ned
nicht Existierendes,Niänänüütäli
nichts für ungut,nüt für unguät
noch,no
oder,oder
ohne,ohni
ohne,ohni
Option,Option
passiert (er/sie/es),passiert
Patient,Patient
Patient,Patient
pleite,schtiär
plumpe Frau,Pfluttä
positiv,positiv
positiv,positiv
Programm,Programm
quer,dätwäris
recht,recht
rechtlich,rechtlich
reden,rede
reden,rede
relativ,relativ
Resultate,Resultat
Resultatfälschung,Resultatfälschig
reudiger Kater,Maudi
reudiger Kater,Räuäl
ringen,rammlä
Sachen,Sache
Sachen,Sache
sättigend,bschüssig
sättigend,chüschtig
sauer,sauer
schauen,luägä
scherzhaft kämpfen,ruuzä
schlauer Junge,Luusär
schlauer Kerl,Sidian
schlaues Kind,Luuszapfä
schlechter werden,bösärä
schleppend gehen,schlaarpä
schmächtig,pring
Schnaps,Güügs
schnell fahren,fräsä
Schnipsel,Schnäfl
schon,scho
schön gekleidet,gschniglät
schöne Frau,tolli Griita
schwerer Hammer mit kurzem Stil,Füüschtlig
sich,sich
sich ängstlich fühlen,schüüzälä
sich ärgern,fuggsä
sich einmischen,driifunkä
sich erholen,bchiimä
sich hinlegen,Ranzä planggä
sich winden,figgä
sich winden,ranggä
sicher,sicher
sind (sie),sind
so,so
so,so
so,so
so ein (N),sones
so was,sowas
sofort,hantli
sonst,susch
sowieso,ee
sowieso,eh
Spielraum,Schpatzig
sprachliches Durcheinander,Chuuderwälsch
springen,gumpä
stehen,stoh
Streit,Chritz
suchen,sueche
Taburett,Taburettli
telefonieren,telefoniärä
Toilette,Läubi
Topf,Tüpfi
überhaupt,überhaupt
übervorteilen,schröpfä
umfallen,umghäjä
umsonst,umä suscht
umsonst,vergäbä
unartiges Kind,Goof
unbequemes Anhängsel,Gschleik
und,und
und,und
und,und
und,und
und,und
und,und
und,und
ungeordnet,verhürschät
ungeordnet,vernuschä
ungeordnetes Haar,Schuderhäuäl
ungestümer Draufgänger,Ruäch
unprofessionell Arbeitender,Chnuuschti
unreife Kirsche,Schorneggäli
uns,üs
unsorgfältig,schlufig
unter,unter
unvermutet,handumkeert
verärgert,muff
verlangen,heuschä
verraten,rätschä
vo,vo
von,vo
von,vo
von,vo
von,vu
von einem,vomne
wählerisch beim Essen,schnäderfrässig
war (er/sie/es),gsi isch
was,wa
was ich,wani
weibliche Brust,Chabis
weiblicher Fasnachtsnarr,Hudi
weiss (ich),weiss
welche,welle
welches,wo
wenden,wendä
wenn,wenn
Whistleblower,Whistleblower
wie,wie
wie,wie
wie,wie
will (ich),will
wir,mir
wir,mir
Wirrwarr,Chrüsimüsi
Wirrwarr,Mischmasch
wissen,wüsse
wozu,wozue
würde (ich),wür
würde (ich),würd
würde ich,wöri
zänkische Frau,Riibiisä
zart gestaltetes Kind,Finöggeli
zerzauste Frisur,Tschuderhäuel
zu,z
zu Fuss gehen,trotten
zu Fuss gehen,tschalpä
zu Fuss gehen,tschalpä
zum Beispiel,zum Bispil
zusammen,zame
